CO_Concentration,Humidity,R1_Up_Slope,R1_Down_Slope,R2_Up_Slope,R2_Down_Slope,R3_Up_Slope,R3_Down_Slope,R4_Up_Slope,R4_Down_Slope,R5_Up_Slope,R5_Down_Slope,R6_Up_Slope,R6_Down_Slope,R7_Up_Slope,R7_Down_Slope,R8_Up_Slope,R8_Down_Slope,R9_Up_Slope,R9_Down_Slope,R10_Up_Slope,R10_Down_Slope,R11_Up_Slope,R11_Down_Slope,R12_Up_Slope,R12_Down_Slope,R13_Up_Slope,R13_Down_Slope,R14_Up_Slope,R14_Down_Slope
6.67,26.4,20.41,-3.74,25.85,-4.44,24.25,-4.85,16.22,-2.83,28.95,-4.6,28.36,-4.36,28.46,-4.59,15.88,-2.77,12.44,-2.17,18.06,-2.87,18.37,-2.47,17.49,-2.78,15.65,-2.52,16.53,-2.93
0,53.81,20.58,-4.17,24.09,-4.2,28.14,-4.53,10.37,-1.64,24.38,-3.92,24.66,-4.29,27.3,-4.46,12.71,-2.25,10.33,-1.83,13.17,-2.37,13.09,-2.07,13.57,-2.18,12.01,-1.93,14.85,-2.39
15.56,52.29,19.05,-3.88,23.84,-4.17,30.38,-4.35,10.1,-1.79,27.34,-3.91,26.04,-4.07,29.56,-4.77,30.11,-3.6,17.69,-2.38,29.81,-4.2,27.32,-3.32,26.45,-3.5,24.84,-3.11,30.26,-3.56
8.89,48.19,18.77,-3.82,21.1,-4.08,26.12,-4.71,11.1,-1.97,24.27,-4.38,24.18,-4.22,23.48,-4.3,6.06,-1.09,3.83,-1.16,4.09,-1.36,4.86,-1.28,5.37,-1.29,0.73,-1.94,4.92,-1.41
15.56,38.26,19.87,-4.04,23.83,-4.16,29.64,-4.78,14.87,-2.36,25.68,-4.63,26.23,-4.58,25.29,-4.64,10.91,-1.94,7.73,-1.67,10.55,-1.9,10.7,-1.7,9.94,-1.99,8.9,-1.61,10.99,-1.98
13.33,49.73,19.01,-3.86,24.17,-4.21,27.01,-4.86,12.64,-1.77,23.93,-4.31,24.99,-4.35,28.21,-4.62,5.7,-1.37,4.92,-1.17,6.34,-1.14,3.69,-1.62,5.95,-1.31,3.89,-1.22,4.85,-1.5
15.56,32.91,19.49,-4.37,24.78,-4.32,28.15,-5.07,15.23,-2.7,28.54,-5.14,23.57,-4.56,24.9,-5.06,7.41,-1.48,6.53,-1.28,7.33,-1.32,6.07,-1.46,6.85,-1.51,4.29,-1.45,6.49,-1.57
8.89,59.31,19.96,-4.02,24.41,-4.15,23.55,-4.67,9.04,-1.4,20.59,-4.08,22.44,-4.3,24.89,-4.52,7.07,-1.24,6.02,-1.17,6.54,-1.17,4.83,-1.45,5.97,-1.43,4.14,-1.27,5.16,-1.58
11.11,32.37,20.64,-4.2,26.59,-4.57,26.98,-4.87,15.41,-2.69,28.94,-4.6,29.24,-4.5,29.96,-4.84,11.21,-1.99,10.03,-1.75,10.71,-2.11,9.64,-1.9,10.34,-2.07,10.75,-1.73,11.37,-2.24
0,49.21,30.9,-3.04,33.41,-4.31,49.45,-4.78,17.24,-1.95,45.34,-4.39,45.24,-4.17,40.12,-4.68,10.16,-1.93,10.26,-1.54,12.74,-1.7,13.21,-1.49,13.05,-1.74,8.06,-1.56,13.12,-1.75
15.56,52.78,26.17,-3.99,30.97,-4.43,37.92,-4.97,14.28,-1.81,39.03,-4.33,41.41,-4.46,41.5,-4.61,36.68,-3.33,24.71,-2.66,50.99,-3.8,42.3,-3.57,42.73,-3.77,42.1,-3.24,50.38,-3.76
17.78,41.94,28.35,-3.79,30.21,-4.39,40.98,-4.71,19.98,-2.22,41.14,-4.73,35.28,-4.49,35.06,-4.76,7.06,-1.34,6.74,-1.14,6.76,-1.15,6.15,-1.3,7.12,-1.38,4.41,-1.25,6.1,-1.44
11.11,48.69,28.56,-3.88,32.75,-4.23,39.81,-4.58,16.81,-1.9,42.82,-4.15,38.7,-4.31,41.35,-4.83,6.88,-1.17,0.43,-1.09,4.07,-1.25,5.48,-1.18,5.86,-1.26,0.7,-1.75,6.28,-1.21
0,68.12,26.41,-3.52,28.75,-4.18,40.68,-3.88,0.75,-1.48,30.35,-3.43,37.39,-4.09,36.67,-4.21,10.72,-1.58,9.35,-1.38,12.21,-1.6,8.73,-1.63,12.27,-1.61,12.29,-1.17,9.38,-1.78
11.11,54.8,25.33,-3.78,29.26,-4.1,36.75,-4.72,11.23,-1.62,30.34,-3.9,32.7,-4.07,33.27,-4.35,35.17,-3.09,22.49,-2.38,39.55,-4.25,41.81,-1.82,48.19,-3.48,33.27,-3.06,41.57,-3.66
13.33,58.8,26.49,-3.53,27.9,-4.05,38.39,-4.4,11.07,-1.43,34.29,-3.93,31.99,-4.06,32.29,-4.38,16.38,-1.56,12.12,-1.35,14.36,-1.62,13.32,-1.5,11.6,-1.74,7.15,-1.53,17.54,-1.37
15.56,26.93,28.43,-3.85,33.79,-4.28,41.51,-4.76,21.73,-2.8,35.38,-4.71,37.66,-4.18,38.62,-4.5,8.7,-1.65,8.11,-1.37,8.5,-1.46,10.0,-1.31,8.49,-1.64,10.19,-1.17,10.16,-1.55
17.78,44.54,26.18,-3.99,33.87,-4.23,41.59,-4.69,20.04,-2.19,34.46,-4.52,35.83,-4.47,36.73,-4.89,5.72,-1.56,7.94,-1.15,7.18,-1.2,4.45,-1.54,6.72,-1.41,4.5,-1.25,5.89,-1.5
2.22,67.62,26.71,-3.56,25.32,-4.15,37.96,-4.36,0.87,-1.69,23.49,-3.58,29.9,-4.34,31.97,-4.26,5.79,-1.22,0.44,-1.12,0.75,-1.96,3.95,-1.29,5.48,-1.17,0.71,-1.92,3.93,-1.42
8.89,50.21,25.22,-3.85,30.56,-4.44,41.86,-4.73,18.06,-1.7,33.34,-4.37,34.59,-4.32,34.79,-4.56,25.65,-3.26,22.37,-2.41,38.17,-3.58,31.06,-3.35,34.67,-3.2,30.06,-2.87,35.65,-3.29
0,67.6,9.61,-5.02,10.78,-5.63,12.97,-6.2,4.01,-1.75,10.77,-5.15,12.13,-5.45,12.45,-5.95,6.05,-2.52,4.43,-2.26,5.73,-2.99,5.62,-2.64,5.72,-2.86,4.72,-2.42,5.82,-2.97
17.78,26.38,11.22,-5.61,12.61,-5.91,13.16,-5.6,8.43,-3.69,14.87,-6.33,13.74,-6.01,13.29,-6.5,12.57,-4.78,8.6,-3.85,14.36,-5.28,12.18,-3.99,10.97,-4.07,9.02,-3.84,11.79,-4.72
4.44,30.74,11.46,-5.71,12.36,-6.02,14.14,-6.29,7.47,-3.72,12.84,-6.39,12.86,-6.27,13.31,-6.77,3.09,-1.83,2.96,-1.51,2.79,-1.55,2.76,-1.98,3.41,-2.02,3.28,-1.6,2.65,-2.56
11.11,44.54,11.27,-6.02,12.61,-6.17,14.56,-6.96,6.27,-3.14,14.06,-6.15,14.54,-6.24,14.11,-6.17,7.98,-3.26,7.41,-3.02,8.42,-4.03,7.6,-3.33,7.88,-3.52,6.54,-2.99,8.23,-3.68
17.78,22.52,11.72,-5.92,12.44,-6.29,13.61,-6.57,9.0,-3.79,14.79,-6.68,15.99,-6.92,14.67,-7.09,4.85,-2.24,3.89,-2.15,4.42,-2.08,4.05,-1.87,4.16,-2.35,2.78,-2.15,4.15,-2.34
4.44,65.19,10.24,-5.36,12.43,-5.7,13.65,-6.53,3.69,-1.73,10.68,-5.11,12.37,-5.67,12.68,-6.2,2.94,-1.86,0.85,-1.19,2.93,-1.53,2.76,-1.94,3.35,-2.0,3.19,-1.46,2.54,-2.54
13.33,54.78,10.92,-5.53,11.6,-5.5,13.82,-6.39,4.83,-2.19,12.46,-5.76,12.9,-5.71,13.65,-5.87,8.91,-3.76,6.6,-2.86,8.75,-4.05,7.93,-3.11,7.94,-3.35,6.13,-2.64,8.37,-3.61
17.78,59.78,9.7,-5.19,11.46,-5.61,13.32,-6.08,4.68,-2.19,10.93,-4.99,11.25,-5.16,12.45,-6.23,4.13,-2.02,3.62,-1.74,3.75,-1.6,3.31,-2.18,3.78,-2.25,3.14,-1.54,4.18,-2.04
11.11,25.83,10.89,-5.45,11.99,-6.0,13.32,-6.08,8.37,-3.67,12.18,-5.83,12.24,-5.73,12.69,-6.35,2.74,-2.04,2.89,-1.48,2.85,-1.49,2.5,-2.02,3.02,-2.04,2.4,-1.84,2.42,-2.49
2.22,20.3,47.18,-4.8,15.06,-6.14,14.86,-7.26,9.61,-4.5,15.27,-7.3,14.7,-6.88,15.19,-6.78,6.0,-2.74,4.79,-2.29,5.4,-2.52,5.28,-2.52,5.58,-2.98,5.26,-2.58,5.15,-2.81
13.33,17.5,13.43,-7.33,17.91,-7.84,18.47,-7.55,12.48,-4.75,18.33,-6.97,19.39,-6.85,19.14,-7.43,10.38,-4.16,8.86,-4.07,11.99,-5.01,8.89,-4.18,10.48,-4.37,8.28,-3.78,10.85,-4.43
2.22,31.81,13.86,-7.25,15.71,-6.87,16.17,-7.57,8.89,-4.16,17.11,-6.5,17.46,-6.98,15.26,-7.63,4.45,-2.28,4.28,-2.0,4.28,-2.09,4.13,-2.25,4.55,-2.89,5.08,-2.32,4.24,-2.63
15.56,41.92,12.88,-6.73,13.7,-6.86,16.34,-7.31,8.37,-3.67,15.89,-6.49,17.06,-6.48,16.34,-6.68,10.6,-4.03,9.29,-3.9,11.14,-4.98,9.91,-3.77,10.33,-4.31,8.17,-3.66,9.79,-4.49
11.11,18.62,15.49,-7.75,18.09,-7.54,16.72,-6.97,10.67,-4.14,17.49,-6.78,17.44,-6.76,15.36,-7.35,3.96,-1.72,3.33,-1.82,3.11,-1.74,3.34,-1.79,3.81,-2.33,3.54,-1.77,3.84,-1.92
20,51.23,13.32,-6.66,12.99,-6.5,15.42,-6.89,5.83,-2.73,13.64,-5.97,14.41,-6.18,14.41,-6.44,4.98,-2.55,5.21,-2.28,5.19,-2.37,4.6,-2.1,4.6,-2.74,4.32,-1.84,4.96,-2.38
2.22,41.4,10.61,-5.92,12.0,-5.87,12.86,-6.15,6.24,-3.12,12.53,-5.99,12.9,-5.91,13.21,-6.45,2.46,-1.99,0.87,-1.26,0.9,-1.35,2.2,-2.01,3.21,-2.03,3.03,-1.69,2.89,-1.83
20,51.24,10.51,-5.62,12.07,-5.54,13.65,-6.68,5.94,-2.6,13.24,-5.92,13.49,-5.79,13.94,-5.94,9.54,-3.83,8.16,-3.74,9.9,-4.74,8.85,-3.8,9.3,-3.88,6.7,-3.06,10.29,-4.21
6.67,43.51,10.31,-5.46,12.06,-5.58,14.69,-7.1,6.44,-3.04,11.61,-5.61,11.76,-5.44,13.54,-6.25,2.61,-1.9,0.82,-1.15,0.81,-1.23,2.19,-1.87,2.72,-2.11,2.28,-1.89,2.97,-1.54
17.78,46.63,10.9,-5.44,12.93,-6.05,13.94,-6.67,5.56,-2.66,12.54,-5.6,13.24,-5.79,13.3,-6.07,6.97,-3.33,6.29,-2.94,7.42,-3.31,5.83,-2.98,6.16,-3.22,4.9,-2.19,6.76,-3.17
0,42.9991,10.05,-5.5,11.22,-5.25,12.56,-5.85,5.47,-2.61,11.91,-5.17,11.03,-5.51,11.75,-6.0,3.29,-1.61,2.78,-1.65,2.93,-1.57,3.06,-1.64,3.62,-2.07,3.49,-1.74,3.4,-1.94
13.33,68.61,9.33,-4.99,11.16,-5.12,12.96,-6.2,0.02,-1.07,9.58,-4.58,11.77,-5.4,11.47,-5.48,10.52,-3.77,7.97,-3.19,13.21,-5.39,11.54,-4.2,11.3,-4.19,7.53,-3.14,12.81,-5.13
6.67,71.96,8.71,-4.36,10.29,-4.82,11.27,-5.77,0.29,-1.07,9.29,-4.24,11.24,-5.16,10.8,-5.28,3.83,-1.96,2.93,-1.82,3.78,-1.97,3.38,-2.37,4.17,-2.18,2.76,-1.71,3.36,-2.65
20,55.32,8.63,-4.61,10.7,-4.9,12.24,-5.98,4.57,-2.14,10.11,-4.94,10.46,-5.12,11.81,-5.51,6.41,-2.67,5.16,-2.42,6.58,-3.0,4.94,-2.69,5.32,-2.72,3.95,-1.93,5.87,-3.0
0,50.24,8.57,-4.58,10.8,-5.05,11.4,-5.82,4.73,-2.37,10.61,-5.07,11.56,-5.3,11.17,-5.46,2.54,-1.82,0.81,-1.15,0.9,-1.34,2.2,-2.27,2.96,-1.84,2.47,-1.89,2.31,-2.45
8.89,61.3,8.63,-4.61,10.26,-5.13,12.19,-5.96,4.22,-2.02,10.6,-4.85,11.18,-5.24,11.94,-5.45,12.56,-4.78,7.6,-3.56,11.97,-5.24,13.07,-3.99,11.82,-4.32,8.67,-3.62,12.19,-4.88
4.44,27.49,9.43,-5.16,11.21,-5.25,12.94,-6.47,7.83,-3.75,12.96,-5.91,12.67,-5.54,12.88,-6.01,6.21,-2.84,5.36,-2.4,5.74,-2.81,5.61,-2.68,6.08,-2.77,5.32,-2.48,6.36,-2.9
13.33,32.91,10.63,-5.82,12.14,-5.81,14.52,-6.31,7.76,-3.24,14.13,-5.89,13.17,-5.76,13.02,-6.37,8.1,-3.96,7.24,-3.17,8.32,-3.8,7.79,-3.18,7.63,-3.25,6.08,-2.64,7.71,-3.77
2.22,60.31,10.93,-5.59,11.5,-5.5,12.53,-6.13,5.05,-2.1,12.41,-5.28,13.06,-5.71,12.27,-6.0,4.29,-2.72,3.78,-2.11,4.66,-2.17,4.72,-2.01,4.89,-2.44,4.06,-1.99,4.6,-2.57
20,24.75,10.43,-5.55,12.58,-5.85,13.76,-6.24,8.16,-3.88,13.53,-6.01,13.41,-5.71,13.65,-6.64,11.31,-4.45,8.01,-3.41,9.71,-4.41,8.96,-3.6,8.31,-3.77,6.25,-2.9,9.33,-4.14
6.67,46.64,10.21,-5.59,11.63,-5.94,13.69,-6.39,5.87,-2.62,11.83,-6.18,13.47,-5.89,13.81,-6.44,2.55,-1.83,0.77,-1.16,0.8,-1.22,2.39,-1.76,2.74,-1.89,2.51,-1.73,2.69,-1.71
15.56,60.82,10.4,-5.32,12.16,-5.43,13.59,-6.65,4.16,-1.86,11.82,-5.39,12.65,-5.54,12.04,-5.89,7.3,-3.11,5.35,-2.74,6.97,-3.18,6.49,-2.57,6.77,-2.68,4.62,-2.11,6.84,-3.06
4.44,62.79,9.77,-5.0,10.91,-5.22,13.03,-6.08,4.35,-1.94,11.42,-5.33,12.66,-5.54,11.64,-5.44,4.15,-2.03,3.32,-1.74,3.93,-1.83,3.96,-1.81,3.98,-2.28,3.46,-1.73,4.03,-2.11
0,26.4,9.53,-5.45,12.62,-5.64,14.12,-6.44,8.32,-3.47,13.35,-6.09,13.46,-5.89,12.77,-6.11,9.12,-4.16,7.33,-3.2,9.65,-4.11,9.24,-3.48,9.45,-3.93,8.48,-3.61,9.53,-3.97
8.89,53.31,10.67,-5.34,12.5,-5.47,13.68,-6.25,5.86,-2.44,14.02,-5.96,13.04,-5.32,12.87,-5.75,11.63,-4.65,9.37,-3.67,13.87,-5.27,13.92,-4.39,11.8,-4.72,9.94,-4.14,12.55,-5.02
6.67,45.63,10.59,-5.41,12.89,-5.26,13.98,-6.51,5.97,-2.66,12.85,-5.86,12.93,-5.65,13.41,-5.82,5.77,-3.01,5.45,-2.27,5.99,-2.79,5.63,-2.57,5.6,-2.99,5.06,-2.31,6.05,-2.71
4.44,48.74,9.92,-5.04,11.49,-5.46,13.4,-6.21,6.06,-2.69,12.59,-5.84,12.41,-5.4,12.41,-6.16,7.51,-3.18,5.37,-2.73,7.36,-3.34,6.81,-2.96,6.72,-3.26,6.25,-2.7,7.63,-3.3
8.89,31.87,10.59,-5.54,12.92,-5.93,12.96,-6.2,7.07,-3.31,11.98,-4.65,14.19,-5.67,13.29,-5.94,8.49,-3.72,7.17,-3.14,8.54,-3.82,7.9,-3.22,8.02,-3.51,6.63,-2.97,8.7,-3.48
0,52.84,10.81,-5.4,12.66,-5.54,13.22,-6.33,5.08,-2.22,12.31,-5.5,12.72,-5.45,11.79,-6.03,5.94,-2.48,5.46,-2.44,6.27,-2.8,5.93,-2.59,5.71,-2.86,5.36,-2.57,6.43,-2.88
4.44,70.12,9.16,-4.58,11.02,-5.16,12.32,-5.62,3.09,-1.48,10.21,-4.66,12.3,-5.38,11.62,-5.68,10.68,-4.27,7.04,-2.71,13.05,-4.6,12.39,-4.35,11.8,-4.29,8.0,-3.1,12.12,-4.43
8.89,37.76,10.01,-5.01,12.49,-5.47,12.78,-5.84,6.28,-3.01,11.81,-5.4,11.74,-5.5,11.95,-5.85,8.8,-4.02,7.08,-2.95,8.85,-3.77,8.05,-3.16,7.42,-3.56,6.01,-2.94,8.0,-3.75
11.11,51.31,10.08,-5.16,11.21,-5.25,12.78,-5.97,5.72,-2.56,11.82,-5.39,12.41,-5.43,13.0,-6.07,6.08,-2.78,4.79,-2.29,5.3,-2.59,4.92,-2.57,5.14,-2.75,3.99,-2.28,5.52,-2.7
6.67,32.95,10.67,-5.46,11.93,-5.58,12.38,-6.47,7.81,-3.49,13.35,-6.09,14.23,-6.22,13.52,-5.75,5.09,-2.49,4.18,-2.18,4.5,-2.2,4.63,-2.11,4.54,-2.59,4.18,-2.09,5.01,-2.45
4.44,36.17,11.66,-5.83,13.57,-6.22,14.44,-6.45,7.99,-3.74,13.78,-6.03,13.5,-5.79,14.27,-6.38,6.58,-3.37,6.32,-2.9,7.2,-3.44,6.84,-3.01,7.1,-3.17,6.35,-2.9,7.49,-3.35
11.11,30.79,11.85,-6.34,13.0,-6.09,14.1,-6.45,7.8,-3.49,14.6,-6.53,15.41,-6.3,15.58,-6.63,9.65,-4.11,7.1,-3.33,8.85,-3.85,8.24,-3.37,8.26,-3.52,6.16,-3.01,8.27,-3.78
6.67,66.76,10.1,-5.41,12.52,-5.98,12.94,-6.32,3.61,-1.61,11.28,-5.39,12.09,-5.65,12.53,-5.72,4.71,-2.3,4.05,-1.98,4.45,-2.22,4.55,-2.07,4.36,-2.44,3.66,-1.79,4.49,-2.35
8.89,49.79,9.43,-5.16,11.4,-5.34,13.54,-5.89,5.78,-2.58,13.23,-5.63,12.41,-5.43,13.0,-6.07,7.55,-3.45,5.52,-2.64,6.97,-3.18,6.77,-2.71,6.66,-3.04,5.34,-2.67,7.11,-3.18
13.33,29.7,11.0,-5.25,12.38,-5.92,13.33,-6.66,7.94,-3.8,14.14,-6.01,13.71,-5.6,13.93,-6.5,6.27,-2.67,5.14,-2.51,5.49,-2.75,5.23,-2.56,5.61,-2.62,4.37,-2.14,5.24,-2.86
15.56,39.88,11.57,-6.19,14.09,-6.17,14.39,-7.04,7.6,-3.56,14.19,-5.91,14.23,-6.1,14.05,-6.72,3.95,-1.89,3.98,-1.78,3.38,-2.01,3.26,-2.07,4.0,-2.09,2.79,-1.78,3.94,-1.89
8.89,37.23,11.27,-5.89,12.71,-6.63,13.66,-6.53,8.03,-3.59,14.0,-6.56,13.89,-6.37,14.58,-6.52,3.25,-2.2,3.21,-1.76,3.11,-1.7,2.89,-2.02,3.71,-2.07,3.32,-1.62,3.06,-2.27
6.67,30.78,12.59,-6.72,14.8,-6.92,15.58,-7.1,9.28,-3.86,14.89,-6.07,14.36,-6.58,14.86,-6.63,6.54,-2.99,5.73,-2.68,6.02,-2.94,5.74,-2.74,6.37,-2.91,5.83,-2.72,6.55,-2.99
2.22,46.15,12.31,-6.02,13.54,-6.63,14.92,-6.67,6.85,-3.21,12.45,-6.23,14.55,-6.24,14.52,-6.8,7.49,-3.59,6.85,-2.88,8.7,-3.7,7.27,-3.12,7.75,-3.71,7.28,-3.26,7.81,-3.66
0,26.41,12.25,-6.4,13.42,-6.57,14.08,-6.59,8.62,-3.7,16.25,-6.5,15.99,-6.85,15.99,-6.53,11.39,-4.24,9.5,-3.91,11.83,-5.18,11.85,-4.31,12.59,-4.84,11.37,-4.64,12.28,-4.81
4.44,65.76,10.82,-5.49,11.94,-5.94,13.82,-6.25,3.95,-1.75,12.21,-4.79,13.43,-5.55,12.38,-5.89,12.02,-4.28,9.91,-3.79,14.63,-5.13,13.71,-4.96,13.29,-4.57,9.33,-3.78,13.31,-5.02
0,43.03,10.09,-5.39,12.09,-5.53,13.51,-6.6,6.64,-2.9,13.13,-5.86,13.24,-5.67,13.44,-6.0,8.28,-3.87,6.89,-3.59,10.14,-4.22,8.14,-3.82,9.76,-3.98,8.29,-3.7,9.94,-3.97
20,56.36,9.92,-5.31,12.67,-5.81,13.46,-6.15,5.24,-2.45,11.42,-5.47,12.57,-5.39,13.29,-5.94,10.81,-3.86,9.42,-3.49,13.45,-5.38,12.35,-4.27,11.86,-4.65,8.71,-3.89,13.14,-4.8
17.78,22,14.05,-7.85,15.02,-6.57,15.77,-7.54,11.31,-4.71,16.03,-7.01,16.2,-6.95,15.94,-6.97,2.17,-1.87,0.28,-1.05,0.03,-1.12,0.14,-2.11,2.68,-1.7,0.02,-1.07,0.73,-1.2
13.33,48.73,12.14,-6.34,13.93,-5.97,14.9,-7.12,5.57,-2.79,12.59,-6.29,13.89,-6.37,14.41,-6.44,3.59,-1.5,3.49,-1.67,2.92,-1.63,2.99,-1.56,3.24,-2.18,3.16,-1.55,3.08,-1.96
17.78,66.71,10.04,-5.37,12.14,-5.65,12.24,-6.39,3.22,-1.64,10.46,-5.11,11.84,-5.51,11.16,-4.85,4.57,-1.99,4.1,-1.86,3.97,-1.99,3.54,-1.85,3.86,-2.21,3.16,-1.58,4.12,-2.02
2.22,57.34,9.43,-5.13,11.21,-5.21,12.31,-6.11,4.32,-2.05,11.81,-5.86,12.18,-5.29,12.4,-5.88,3.71,-1.69,3.31,-1.61,3.17,-1.69,3.3,-1.6,3.57,-2.3,3.25,-1.84,3.28,-2.26
20,49.22,9.49,-5.07,11.31,-5.65,12.94,-6.32,5.9,-2.83,12.25,-5.86,12.79,-5.48,12.87,-5.87,12.92,-4.47,9.65,-3.59,12.93,-5.39,13.46,-4.64,13.3,-4.28,10.54,-4.39,13.56,-5.05
15.56,39.32,9.58,-5.21,11.2,-5.69,13.06,-6.49,6.85,-3.26,13.26,-6.59,11.69,-5.94,12.3,-5.83,0.73,-1.29,0.17,-1.15,0.2,-1.76,0.37,-1.82,0.72,-1.3,0.12,-1.19,0.7,-1.2
20,37.73,11.04,-5.64,13.11,-5.86,14.09,-6.12,7.36,-3.29,13.24,-5.63,13.18,-5.49,12.66,-6.33,3.3,-1.96,3.2,-1.67,2.76,-1.79,3.0,-1.6,3.33,-1.9,2.29,-1.79,3.32,-1.9
4.44,58.33,10.08,-5.16,10.91,-5.46,13.29,-6.2,4.84,-2.16,12.15,-5.55,13.06,-5.71,12.29,-6.14,2.74,-1.64,0.73,-1.1,0.78,-1.16,2.1,-1.98,2.47,-1.82,0.79,-1.32,2.6,-1.69
15.56,30.75,10.84,-5.92,12.64,-5.9,13.7,-6.24,8.57,-3.56,14.04,-6.26,13.3,-6.21,14.25,-6.49,9.41,-4.2,7.42,-3.24,9.45,-3.73,9.25,-3.62,9.15,-3.88,7.91,-3.43,9.92,-3.84
6.67,51.77,10.16,-5.44,12.19,-5.59,13.49,-6.6,5.48,-2.74,11.95,-5.72,12.62,-5.79,13.7,-6.26,3.19,-2.24,3.48,-1.67,3.45,-1.69,3.1,-1.8,3.59,-2.01,2.56,-1.95,3.28,-2.22
2.22,29.67,10.63,-5.76,12.74,-5.93,14.71,-6.67,9.19,-3.81,14.0,-6.35,13.89,-6.17,14.36,-6.38,7.73,-3.27,6.4,-3.1,7.43,-3.69,6.7,-3.18,7.01,-3.4,6.54,-3.03,7.43,-3.61
11.11,50.2318,11.01,-5.89,12.62,-5.91,14.36,-6.11,6.09,-2.72,13.93,-5.4,14.14,-5.37,14.38,-6.43,12.06,-4.26,9.03,-3.62,12.91,-5.0,11.21,-4.16,11.56,-4.31,9.75,-3.86,10.87,-4.75
2.22,60.81,10.4,-5.2,11.5,-5.39,12.9,-5.89,4.11,-1.97,11.61,-5.3,12.91,-5.65,12.66,-6.19,4.87,-2.72,4.54,-2.17,5.35,-2.33,4.81,-2.15,4.76,-2.66,4.14,-2.02,5.26,-2.57
13.33,63.27,9.7,-4.85,11.41,-5.23,12.42,-5.67,3.76,-1.84,10.53,-4.81,11.19,-4.57,12.52,-5.71,10.5,-4.38,7.49,-2.85,11.01,-4.59,11.55,-3.99,11.07,-4.52,7.77,-3.24,10.48,-4.19
